EmployeeNumber,Attrition,Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes
1,1,0.5400493841613765,0.7477447996097052,-1.505349666976496,-0.8916882501868245,-0.6605306743650393,1.2222517405133182,0.3796721288811475,-0.05778754527941421,1.1532535902386967,0.21949323718313785,0.7497190208472018,2.1251359240839385,-1.2926774131267929,-0.42623001504290287,-1.584178240646517,-0.9320143892374165,-2.171981830933257,-2.4938204216722384,0.177344441121138,-0.9733423721381878,-0.337099931231621,-0.48185865349153717,0.639840584172622,-0.21160368475757949,-1.3740508422516025,1.515243916193211,-0.13678822577626595,1.194044628251987,-0.3482548844322107,-0.6791410784025343,-0.24305927219151896,-0.31409347099260015,1.224744871391589,-1.224744871391589,-0.3127845978150477,-0.19149769743816367,-0.4624638714212627,-0.2730593406363751,-0.3308080444368773,-0.23990405756162686,-0.49787323578739656,1.8732865381429853,-0.2446249870365339,-0.534873105367193,-0.9189214123677304,1.4586499149789454,-1.5917455343596372,1.5917455343596372
2,0,1.2575010043235528,-1.3333178602208553,0.25200236211931026,-1.8684257522543597,0.2546249253678617,-0.07575507464607555,-1.0261667362455194,-0.05778754527941421,-0.6608531809232983,-0.014600155970252774,1.1379179984561467,-0.6780493930322936,1.9423059669967295,2.346151056253851,1.1914379855160337,0.24198831185855807,0.1557070814399298,0.33809616377248186,0.7747243810088977,-0.11727146504788616,-0.337099931231621,2.075297377672938,-1.562889295765913,-0.21160368475757949,0.7277751079147405,-0.6599597525607148,-0.13678822577626595,1.194044628251987,-0.3482548844322107,-0.6791410784025343,-0.24305927219151896,-0.31409347099260015,-0.816496580927726,0.816496580927726,-0.3127845978150477,-0.19149769743816367,-0.4624638714212627,-0.2730593406363751,-0.3308080444368773,-0.23990405756162686,2.0085433964299764,-0.5338211638414452,-0.2446249870365339,-0.534873105367193,1.0882323412438057,-0.6855654600401044,0.6282411217206918,-0.6282411217206918
4,1,0.128213166528755,1.081219603699069,-1.0316074699401947,-0.8916882501868245,1.1697805251007627,1.1575330687869791,-1.0261667362455194,-0.9614863916702531,0.24620020465769926,-1.366317700490529,-2.5592335435813336,1.3242258334793007,0.049961999168294455,-0.42623001504290287,-0.6589728319256667,-0.9320143892374165,0.1557070814399298,0.33809616377248186,-2.39452712456886,-0.9733423721381878,-0.337099931231621,-0.48185865349153717,0.639840584172622,-0.21160368475757949,0.7277751079147405,-0.6599597525607148,-0.13678822577626595,-0.8374896350934076,-0.3482548844322107,-0.6791410784025343,4.114222802461321,-0.31409347099260015,-0.816496580927726,0.816496580927726,-0.3127845978150477,-0.19149769743816367,2.162331074483201,-0.2730593406363751,-0.3308080444368773,-0.23990405756162686,-0.49787323578739656,-0.5338211638414452,-0.2446249870365339,-0.534873105367193,-0.9189214123677304,1.4586499149789454,-1.5917455343596372,1.5917455343596372
5,0,-0.32947230445744813,1.10206591171304,-0.6954820319532932,1.0617867539482457,1.1697805251007627,-0.33150756590850294,0.3796721288811475,-0.9614863916702531,0.24620020465769926,-0.8686259477716458,1.0230026270291592,-0.6780493930322936,-1.2926774131267929,-0.42623001504290287,0.26623257679518353,-0.9320143892374165,0.1557070814399298,0.33809616377248186,0.5095018289928678,0.7387994420424154,-0.337099931231621,2.075297377672938,-1.562889295765913,-0.21160368475757949,0.7277751079147405,-0.6599597525607148,-0.13678822577626595,1.194044628251987,-0.3482548844322107,-0.6791410784025343,-0.24305927219151896,-0.31409347099260015,1.224744871391589,-1.224744871391589,-0.3127845978150477,-0.19149769743816367,-0.4624638714212627,-0.2730593406363751,-0.3308080444368773,-0.23990405756162686,2.0085433964299764,-0.5338211638414452,-0.2446249870365339,-0.534873105367193,1.0882323412438057,-0.6855654600401044,-1.5917455343596372,1.5917455343596372
7,0,-1.1284103085079675,-0.19682791047969556,-1.0316074699401947,-1.8684257522543597,-1.5756862740979403,-1.333672201375296,0.3796721288811475,-0.9614863916702531,-0.6608531809232983,-0.6040322021702075,0.5001864402801712,2.5255909693862573,-0.9191105339903898,-0.42623001504290287,1.1914379855160337,0.24198831185855807,0.1557070814399298,0.33809616377248186,-0.942512647787996,0.38349791355828533,-0.337099931231621,-0.48185865349153717,0.639840584172622,-0.21160368475757949,0.7277751079147405,-0.6599597525607148,-0.13678822577626595,-0.8374896350934076,-0.3482548844322107,1.4724481139503225,-0.24305927219151896,-0.31409347099260015,-0.816496580927726,0.816496580927726,-0.3127845978150477,-0.19149769743816367,2.162331074483201,-0.2730593406363751,-0.3308080444368773,-0.23990405756162686,-0.49787323578739656,-0.5338211638414452,-0.2446249870365339,-0.534873105367193,1.0882323412438057,-0.6855654600401044,0.6282411217206918,-0.6282411217206918
8,0,-0.4523150959232414,0.608018051342498,-1.0316074699401947,-0.8916882501868245,1.1697805251007627,0.6995412037116295,0.3796721288811475,-0.9614863916702531,1.1532535902386967,-0.788517937257751,-0.03330250935047222,-1.0785044383346125,-0.5732416262379573,-0.42623001504290287,0.26623257679518353,-0.9320143892374165,-0.6201892226844657,-1.0778621289498782,0.35383028348375706,0.7387994420424154,-0.337099931231621,2.075297377672938,-1.562889295765913,-0.21160368475757949,0.7277751079147405,-0.6599597525607148,-0.13678822577626595,1.194044628251987,-0.3482548844322107,-0.6791410784025343,-0.24305927219151896,-0.31409347099260015,-0.816496580927726,0.816496580927726,-0.3127845978150477,-0.19149769743816367,2.162331074483201,-0.2730593406363751,-0.3308080444368773,-0.23990405756162686,-0.49787323578739656,-0.5338211638414452,-0.2446249870365339,-0.534873105367193,-0.9189214123677304,1.4586499149789454,0.6282411217206918,-0.6282411217206918
10,0,2.007741068221451,1.0260983864810878,-0.6954820319532932,0.08504925188071055,0.2546249253678617,0.7746478053133828,1.7855109940078144,-0.9614863916702531,-1.5679065665042957,-0.997675510957471,-0.30891653700620497,0.523315742874663,1.3191023415904777,2.346151056253851,-1.584178240646517,2.5899937140505074,0.1557070814399298,-1.0778621289498782,-1.4784079885513208,-0.9733423721381878,-0.337099931231621,-0.48185865349153717,0.639840584172622,-0.21160368475757949,0.7277751079147405,-0.6599597525607148,-0.13678822577626595,-0.8374896350934076,-0.3482548844322107,1.4724481139503225,-0.24305927219151896,-0.31409347099260015,1.224744871391589,-1.224744871391589,-0.3127845978150477,-0.19149769743816367,2.162331074483201,-0.2730593406363751,-0.3308080444368773,-0.23990405756162686,-0.49787323578739656,-0.5338211638414452,-0.2446249870365339,-0.534873105367193,1.0882323412438057,-0.6855654600401044,-1.5917455343596372,1.5917455343596372
11,0,-0.7095818582381554,1.0645573450838872,1.44569152780102,-1.8684257522543597,1.1697805251007627,0.2052134185953607,0.3796721288811475,-0.9614863916702531,0.24620020465769926,-0.9847643368476673,0.15127979394025975,-0.6780493930322936,1.7436762254776932,2.346151056253851,-0.6589728319256667,0.24198831185855807,-0.6201892226844657,0.33809616377248186,-1.4784079885513208,-0.9733423721381878,-0.337099931231621,-0.48185865349153717,0.639840584172622,-0.21160368475757949,0.7277751079147405,-0.6599597525607148,-0.13678822577626595,1.194044628251987,-0.3482548844322107,-0.6791410784025343,-0.24305927219151896,-0.31409347099260015,-0.816496580927726,0.816496580927726,-0.3127845978150477,-0.19149769743816367,2.162331074483201,-0.2730593406363751,-0.3308080444368773,-0.23990405756162686,-0.49787323578739656,-0.5338211638414452,-0.2446249870365339,1.86960232243028,-0.9189214123677304,-0.6855654600401044,0.6282411217206918,-0.6282411217206918
12,0,0.2351004206837033,-1.720223016240328,1.397995435129415,0.08504925188071055,1.1697805251007627,-1.0505225227996184,-1.0261667362455194,0.8459113011114247,0.24620020465769926,0.9172494813296661,-0.5074245974780567,-1.0785044383346125,1.5362156497632007,2.346151056253851,-0.6589728319256667,-0.9320143892374165,-0.6201892226844657,0.33809616377248186,0.6487547716317403,-0.11727146504788616,-0.337099931231621,2.075297377672938,-1.562889295765913,-0.21160368475757949,0.7277751079147405,-0.6599597525607148,-0.13678822577626595,1.194044628251987,-0.3482548844322107,-0.6791410784025343,-0.24305927219151896,-0.31409347099260015,-0.816496580927726,0.816496580927726,-0.3127845978150477,-0.19149769743816367,-0.4624638714212627,-0.2730593406363751,3.0229010957162923,-0.23990405756162686,-0.49787323578739656,-0.5338211638414452,-0.2446249870365339,-0.534873105367193,-0.9189214123677304,1.4586499149789454,0.6282411217206918,-0.6282411217206918
13,0,0.018475252116491363,0.9971848166971541,1.5781038594442476,0.08504925188071055,0.2546249253678617,1.2222517405133182,0.3796721288811475,-0.05778754527941421,0.24620020465769926,0.016478861942161624,0.4949554690322317,1.3242258334793007,-0.5732416262379573,-0.42623001504290287,-0.6589728319256667,1.4159910129545328,0.1557070814399298,-1.0778621289498782,0.35383028348375706,1.594870349132717,-0.337099931231621,-0.48185865349153717,0.639840584172622,-0.21160368475757949,0.7277751079147405,-0.6599597525607148,-0.13678822577626595,-0.8374896350934076,-0.3482548844322107,1.4724481139503225,-0.24305927219151896,-0.31409347099260015,-0.816496580927726,0.816496580927726,3.1970883700331973,-0.19149769743816367,-0.4624638714212627,-0.2730593406363751,-0.3308080444368773,-0.23990405756162686,-0.49787323578739656,-0.5338211638414452,-0.2446249870365339,-0.534873105367193,1.0882323412438057,-0.6855654600401044,0.6282411217206918,-0.6282411217206918
